Ensembl Gene ID,Approved symbol
ENSMUSG00000073940,Hbb-bt
ENSMUSG00000052305,Hbb-bs
ENSMUSG00000083216,Hbb-bh3
ENSMUSG00000078621,Hbb-bh2
ENSMUSG00000052217,Hbb-bh1
ENSMUSG00000085700,Hbb-bh0
ENSMUSG00000052187,Hbb-by
,Hbb-ar
,Hbb-b1
,Hbb-b2
